sku,csv_filename,real_filename,real_url,status
"ABS Modulator, Continental GT (2004)","abs_unit_continental_gt_2004.jpg","ABS UNIT, Continental GT 2004.jpg","https://www.introcar.com/media/lookbookslider/ABS UNIT, Continental GT 2004.jpg","downloaded"
"ABS Modulator, Continental GT (2012)","abs_unit_continental_gt_2012.jpg","ABS UNIT, Continental GT 2012.jpg","https://www.introcar.com/media/lookbookslider/ABS UNIT, Continental GT 2012.jpg","downloaded"
"ABS Modulator, Flying Spur (2014)","abs_unit_continental_gt_2012_1.jpg","ABS UNIT, Continental GT 2012.jpg","https://www.introcar.com/media/lookbookslider/ABS UNIT, Continental GT 2012.jpg","downloaded"
"ABS Modulator, New Continental GT","abs_unit_new_continental_gt_2018.jpg","ABS UNIT, New Continental GT 2018.jpg","https://www.introcar.com/media/lookbookslider/ABS UNIT, New Continental GT 2018.jpg","downloaded"
"Accumulator, Corniche & Continental, chassis numbers 10081-16968","accumulator_09534.jpg","1524553057-48774000.jpg","https://www.introcar.com/media/lookbookslider/1524553057-48774000.jpg","downloaded"
"pactuator-motor-distribution-box-chassis-numbers-38792-on-p8165","heater_actuator_shadow_ii_distribution_box_38792_on.jpg","1456304623-17177300.jpg","https://www.introcar.com/media/lookbookslider/1456304623-17177300.jpg","downloaded"
"Actuator, Mode Flap, Continental R, chassis numbers 42001-52449","actuator_mode_flap_30000_1.jpg","1472553367-50236700.jpg","https://www.introcar.com/media/lookbookslider/1472553367-50236700.jpg","downloaded"
"Actuator, Mode Flap, Continental R chassis numbers 53001-53105","actuator_mode_flap_30000.jpg","1472553464-50705500.jpg","https://www.introcar.com/media/lookbookslider/1472553464-50705500.jpg","downloaded"
"Air Supply Unit/Compressor, Continental GT (2004)","air_supply_unit_continental_gt_2004.jpg","Air Supply Unit, Continental GT 2004.jpg","https://www.introcar.com/media/lookbookslider/Air Supply Unit, Continental GT 2004.jpg","downloaded"
"Air Supply Unit/Compressor, Continental GT (2012)","air_supply_unit_continental_gt_2012.jpg","Air Supply Unit, Continental GT 2012.jpg","https://www.introcar.com/media/lookbookslider/Air Supply Unit, Continental GT 2012.jpg","downloaded"
"Air Supply Unit, New Continental GT","air_supply_unit_new_continental_gt.jpg","Air Supply Unit, New Continental GT.jpg","https://www.introcar.com/media/lookbookslider/Air Supply Unit, New Continental GT.jpg","downloaded"
"Air Supply Unit/Compressor, Continental GTC (2007-2018)","air_supply_unit_continental_gtc_2007.jpg","Air Supply Unit, Continental GTC 2007.jpg","https://www.introcar.com/media/lookbookslider/Air Supply Unit, Continental GTC 2007.jpg","downloaded"
