"Stock Code","Stock Description","Qty Sold","Net","Tax","Gross","COS","Profit","Margin %"
"RH3375-X","REAR SHOCK ABSORBER","411","£158410.31","£15492.57","£173902.88","£52313.20","£106097.11","66.98"
"GMF1311KT-X","REAR SHOCK ABSORBER (ACTIVE RIDE)","430","£141526.53","£16364.73","£157891.26","£52822.77","£88703.76","62.68"
"07V103147.01-X","V8 CYLINDER HEAD GASKET","826","£91476.05","£12337.38","£103813.43","£16293.14","£75182.91","82.19"
"UV11163PA-X","HYDRAULIC TAPPET ASSEMBLY","2912","£91697.71","£10681.73","£102379.44","£27647.57","£64050.14","69.85"
"UG2287-X","FRONT AND REAR BRK DRUM","223","£78865.78","£10752.41","£89618.19","£7557.47","£71308.31","90.42"
"UV35436PA-X","FRONT ROTOR (340 MM)","204","£54829.80","£6714.90","£61544.70","£7872.23","£46957.57","85.64"
"UG3848-X","MASTER CYLINDER ASSEMBLY (3/4 INCH)","221","£52288.60","£3632.18","£55920.78","£7573.67","£44714.93","85.52"
"RR363L1-X","BRK FLUID (1 LITER BOTTLE)","2808","£52184.27","£3288.91","£55473.18","£30888.00","£21296.27","40.81"
"UG3847-X","MASTER CYLINDER ASSEMBLY (1 INCH)","206","£50350.15","£3518.04","£53868.19","£7878.22","£42471.93","84.35"
"UR73278-X","FRONT BRK ROTOR","479","£50754.64","£2636.17","£53390.81","£8430.62","£42324.02","83.39"
"3W0615301R-X","BRK ROTOR (VENTED)","244","£47348.85","£5834.03","£53182.88","£20330.19","£27018.66","57.06"
"UE43934NF.02-X","AIR CONDITIONING COMPRESSOR TWIN PULLEY","97","£47350.22","£3753.14","£51103.36","£15280.50","£32069.72","67.73"
"RG5782-X","MASTER CYLINDER","151","£38548.09","£4291.94","£42840.03","£16793.17","£21754.92","56.44"
"GMF1106-X","REAR SUSPENSION GAS SPHERE","614","£39957.78","£2608.87","£42566.65","£14531.26","£25426.52","63.63"
"PD29195PB-X","FRONT ANTI-ROLL BAR DROP LINK","284","£38630.38","£3557.37","£42187.75","£3124.00","£35506.38","91.91"
"UG3651-X","LEFT HAND FRONT WHEEL CYLINDER","231","£38999.67","£3045.84","£42045.51","£10605.33","£28394.34","72.81"
"07C919529K-X","EXHAUST GAS TEMPERATURE SENDER","192","£36913.02","£4937.70","£41850.72","£20418.00","£16495.02","44.69"
"UR73254-X","DAMPER REAR CROSSMEMBER","324","£36504.89","£4897.30","£41402.19","£8074.77","£28430.12","77.88"
"RH7199KT-X","DIAPHRAGM CLUTCH UPGRADE KIT","24","£35301.55","£5254.21","£40555.76","£22528.60","£12772.95","36.18"
